City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Morris,40.8334,-74.5329,50.09,83,90,1.01,1634993719
Jumla,29.2747,82.1838,51.4,90,5,3.62,1634994013
Brae,60.3964,-1.353,51.71,87,100,25.17,1634993610
Beloha,-25.1667,45.05,86.49,36,49,14.88,1634994015
Kiama,-34.6833,150.8667,65.68,99,82,6.89,1634993538
Cepu,-7.1475,111.5906,77.52,83,100,3.02,1634994017
Pevek,69.7008,170.3133,12.78,94,100,5.95,1634993176
Esperance,-33.8667,121.9,57.04,62,0,19.22,1634993599
Tiksi,71.6872,128.8694,0.01,100,97,3.98,1634993588
Hilo,19.7297,-155.09,72.25,96,90,8.05,1634993398
Kahului,20.8947,-156.47,75.85,86,90,14.97,1634993281
Mar del Plata,-38.0023,-57.5575,56.88,82,75,4.0,1634993306
Gostivar,41.7972,20.9083,60.89,57,98,0.43,1634993896
Atuona,-9.8,-139.0333,77.74,75,30,18.19,1634993470
Ribeira Grande,38.5167,-28.7,72.0,68,20,11.5,1634993475
Port Alfred,-33.5906,26.891,66.56,59,100,28.9,1634993500
Avarua,-21.2078,-159.775,68.05,77,75,9.22,1634993499
Chokurdakh,70.6333,147.9167,-5.19,96,100,4.7,1634993497
Puerto Ayora,-0.7393,-90.3518,69.98,84,97,7.34,1634993482
Derzhavīnsk,51.1,66.3167,54.23,54,2,19.8,1634994022
Barrow,71.2906,-156.7887,30.22,80,90,13.8,1634993505
Plettenberg Bay,-34.0527,23.3716,62.82,62,25,20.09,1634993561
Severo-Kuril'sk,50.6789,156.125,37.27,77,17,7.02,1634993519
Krasnosel'kup,65.7,82.4667,30.76,97,99,14.14,1634993572
Ushuaia,-54.8,-68.3,37.06,75,75,6.91,1634993483
Lebu,-37.6167,-73.65,52.3,65,95,5.01,1634993292
Rio Brilhante,-21.8019,-54.5464,85.35,42,74,11.5,1634994024
Hobart,-42.8794,147.3294,53.02,92,75,1.99,1634993478
Rikitea,-23.1203,-134.9692,74.25,82,33,21.7,1634993460
Busselton,-33.65,115.3333,56.23,83,3,8.28,1634993479
Castro,-24.7911,-50.0119,71.64,47,100,9.46,1634993487
Guerrero Negro,27.9769,-114.0611,64.02,86,3,12.93,1634993618
Talnakh,69.4865,88.3972,20.48,96,100,3.44,1634993490
Vardø,70.3705,31.1107,28.6,81,100,17.22,1634993561
Mataura,-46.1927,168.8643,51.49,72,100,1.34,1634993473
Vaini,-21.2,-175.2,69.96,88,20,8.05,1634993468
Hong Kong,22.2855,114.1577,71.26,76,94,1.01,1634993966
Itaituba,-4.2761,-55.9836,80.76,89,40,0.0,1634993551
Hithadhoo,-0.6,73.0833,82.08,74,100,13.44,1634993486
Lahaina,20.8783,-156.6825,75.81,85,30,8.72,1634994015
Punta Arenas,-53.15,-70.9167,41.11,65,40,32.21,1634993464
Yellowknife,62.456,-114.3525,40.41,82,90,18.41,1634993462
Vestmanna,62.1564,-7.1664,47.32,100,90,19.57,1634994028
Dābhol,17.6,73.1667,77.32,76,2,7.29,1634994029
Hasaki,35.7333,140.8333,46.8,50,0,17.52,1634994030
Pringsewu,-5.3582,104.9744,75.47,93,100,1.12,1634994030
Provideniya,64.3833,-173.3,24.66,80,100,7.34,1634993511
Hamilton,39.1834,-84.5333,50.41,96,90,6.91,1634993533
Carnarvon,-24.8667,113.6333,73.47,68,0,17.27,1634993535
Stornoway,58.2093,-6.3865,53.56,94,90,34.52,1634994031
São Filipe,14.8961,-24.4956,81.57,63,0,9.55,1634993564
Padang,-0.9492,100.3543,80.65,87,100,1.14,1634993480
Jadu,31.953,12.0261,84.94,18,100,15.17,1634994032
Tuktoyaktuk,69.4541,-133.0374,27.25,89,100,19.53,1634993463
Jamestown,42.097,-79.2353,44.24,96,90,5.99,1634994011
Tuatapere,-46.1333,167.6833,52.41,86,100,1.36,1634993411
Bethel,41.3712,-73.414,51.94,78,90,0.0,1634993518
New Norfolk,-42.7826,147.0587,52.66,87,100,1.01,1634993486
Kapoeta,4.7717,33.5903,95.18,27,59,16.28,1634994033
Tasiilaq,65.6145,-37.6368,30.36,91,100,5.3,1634993488
Toronto,43.7001,-79.4163,45.43,76,90,5.75,1634993729
Saint-Philippe,-21.3585,55.7679,80.47,85,65,10.96,1634993520
Ilulissat,69.2167,-51.1,16.83,94,100,5.88,1634993466
Khatanga,71.9667,102.5,15.53,94,100,16.24,1634993489
Malgrat de Mar,41.6466,2.7414,73.58,40,71,3.0,1634994035
Coyhaique,-45.5752,-72.0662,44.55,49,20,9.22,1634993523
